ID,Participant,Accent,Sentence,Item,Stimulus,Response,Word_Type,Accuracy,Error_Type,Familiarity,,,
94,44,ChinEng,31,261,a,a,Function,TRUE,,Rarely,,,
95,44,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
96,44,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
97,46,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
98,46,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
99,46,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
100,46,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
101,46,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
102,46,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
103,48,ChinEng,31,258,My,My,Function,TRUE,,Rarely,,,
104,48,ChinEng,31,259,friend,friend,Content,TRUE,,Rarely,,,
105,48,ChinEng,31,260,is,is,Function,TRUE,,Rarely,,,
106,48,ChinEng,31,261,a,a,Function,TRUE,,Rarely,,,
107,48,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
108,48,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
109,50,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
110,50,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
111,50,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
112,50,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
113,50,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
114,50,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
115,54,ChinEng,31,258,My,my,Function,TRUE,,Never,,,
116,54,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
117,54,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
118,54,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
119,54,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
120,54,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
121,56,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
122,56,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
123,56,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
124,56,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
125,56,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
126,56,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
127,58,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
128,58,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
129,58,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
130,58,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
131,58,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
132,58,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
133,59,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
134,59,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
135,59,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
136,59,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
137,59,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
138,59,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
139,61,ChinEng,31,258,My,My,Function,TRUE,,Rarely,,,
140,61,ChinEng,31,259,friend,friend,Content,TRUE,,Rarely,,,
141,61,ChinEng,31,260,is,is,Function,TRUE,,Rarely,,,
142,61,ChinEng,31,261,a,X,Function,FALSE,Omission_FW,Rarely,,,
143,61,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
144,61,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
145,62,ChinEng,31,258,My,my,Function,TRUE,,Rarely,,,
146,62,ChinEng,31,259,friend,friend,Content,TRUE,,Rarely,,,
147,62,ChinEng,31,260,is,is,Function,TRUE,,Rarely,,,
148,62,ChinEng,31,261,a,a,Function,TRUE,,Rarely,,,
149,62,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
150,62,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
151,65,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
152,65,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
153,65,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
154,65,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
155,65,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
156,65,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
157,66,ChinEng,31,258,My,My,Function,TRUE,,Rarely,,,
158,66,ChinEng,31,259,friend,friend,Content,TRUE,,Rarely,,,
159,66,ChinEng,31,260,is,is,Function,TRUE,,Rarely,,,
160,66,ChinEng,31,261,a,a,Function,TRUE,,Rarely,,,
161,66,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
162,66,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
163,67,ChinEng,31,258,My,My,Function,TRUE,,Sometimes,,,
164,67,ChinEng,31,259,friend,friend,Content,TRUE,,Sometimes,,,
165,67,ChinEng,31,260,is,is,Function,TRUE,,Sometimes,,,
166,67,ChinEng,31,261,a,a,Function,TRUE,,Sometimes,,,
167,67,ChinEng,31,262,documentary,documentary,Content,TRUE,,Sometimes,,,
168,67,ChinEng,31,263,director,director,Content,TRUE,,Sometimes,,,
169,70,ChinEng,31,258,My,My,Function,TRUE,,Sometimes,,,
170,70,ChinEng,31,259,friend,friend,Content,TRUE,,Sometimes,,,
171,70,ChinEng,31,260,is,is,Function,TRUE,,Sometimes,,,
172,70,ChinEng,31,261,a,X,Function,FALSE,Omission_FW,Sometimes,,,
173,70,ChinEng,31,262,documentary,documentary,Content,TRUE,,Sometimes,,,
174,70,ChinEng,31,263,director,director,Content,TRUE,,Sometimes,,,
175,71,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
176,71,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
177,71,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
178,71,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
179,71,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
180,71,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
181,72,ChinEng,31,258,My,my,Function,TRUE,,Sometimes,,,
182,72,ChinEng,31,259,friend,friend,Content,TRUE,,Sometimes,,,
183,72,ChinEng,31,260,is,is,Function,TRUE,,Sometimes,,,
184,72,ChinEng,31,261,a,a,Function,TRUE,,Sometimes,,,
185,72,ChinEng,31,262,documentary,documentary,Content,TRUE,,Sometimes,,,
186,72,ChinEng,31,263,director,director,Content,TRUE,,Sometimes,,,
187,73,ChinEng,31,258,My,my,Function,TRUE,,Rarely,,,
188,73,ChinEng,31,259,friend,friend,Content,TRUE,,Rarely,,,
189,73,ChinEng,31,260,is,is,Function,TRUE,,Rarely,,,
190,73,ChinEng,31,261,a,a,Function,TRUE,,Rarely,,,
191,73,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
192,73,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
193,75,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
194,75,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
195,75,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
196,75,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
197,75,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
198,75,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
199,7,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
200,7,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
201,7,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
202,7,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
203,7,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
204,10,ChinEng,32,264,forget,forget,Content,TRUE,,Never,,,
