ID,Participant,Accent,Comprehensibility,Intelligibility
234,13,SpanEng,2,0.77
235,15,SpanEng,3,0.95
236,18,SpanEng,3,0.69
237,21,SpanEng,1,0.67
238,22,SpanEng,4,0.87
239,31,SpanEng,4,0.92
240,33,SpanEng,6,1.00
241,34,SpanEng,3,0.92
242,35,SpanEng,3,0.92
243,36,SpanEng,2,0.82
244,38,SpanEng,3,0.77
245,39,SpanEng,3,0.97
246,40,SpanEng,3,0.97
247,44,SpanEng,3,0.62
248,46,SpanEng,6,0.74
249,48,SpanEng,4,0.97
250,50,SpanEng,1,0.64
251,54,SpanEng,5,0.85
252,56,SpanEng,2,0.92
253,58,SpanEng,3,0.85
254,59,SpanEng,3,0.85
255,61,SpanEng,2,0.97
256,62,SpanEng,3,0.95
257,65,SpanEng,3,0.77
258,66,SpanEng,3,0.79
259,67,SpanEng,3,0.69
260,70,SpanEng,4,0.77
261,71,SpanEng,4,0.87
262,72,SpanEng,6,0.95
263,73,SpanEng,4,0.92
264,75,SpanEng,4,0.95
